WordNo,Meaning,Word,LangCode,LangName
1,I,non,daa,DANGALEAT
2,you,kin,daa,DANGALEAT
3,we,nir,daa,DANGALEAT
11,one,raki,daa,DANGALEAT
12,two,sEro,daa,DANGALEAT
18,person,gemo,daa,DANGALEAT
19,fish,bosir,daa,DANGALEAT
21,dog,ka5a,daa,DANGALEAT
22,louse,XXX,daa,DANGALEAT
23,tree,eti,daa,DANGALEAT
25,leaf,XXX,daa,DANGALEAT
28,skin,XXX,daa,DANGALEAT
30,blood,bar,daa,DANGALEAT
31,bone,XXX,daa,DANGALEAT
34,horn,XXX,daa,DANGALEAT
39,ear,"d""ENg~in",daa,DANGALEAT
40,eye,ud,daa,DANGALEAT
41,nose,XXX,daa,DANGALEAT
43,tooth,XXX,daa,DANGALEAT
44,tongue,XXX,daa,DANGALEAT
47,knee,XXX,daa,DANGALEAT
48,hand,posiN,daa,DANGALEAT
51,breast,XXX,daa,DANGALEAT
53,liver,XXX,daa,DANGALEAT
54,drink,sE,daa,DANGALEAT
57,see,tal,daa,DANGALEAT
58,hear,dor,daa,DANGALEAT
61,die,"d""E",daa,DANGALEAT
66,come,as,daa,DANGALEAT
72,sun,pat,daa,DANGALEAT
74,star,kalo,daa,DANGALEAT
75,water,amay,daa,DANGALEAT
77,stone,damb~i,daa,DANGALEAT
82,fire,ako,daa,DANGALEAT
85,path,botol,daa,DANGALEAT
86,mountain,kot,daa,DANGALEAT
92,night,and~o,daa,DANGALEAT
95,full,XXX,daa,DANGALEAT
96,new,Tadine,daa,DANGALEAT
100,name,siN,daa,DANGALEAT
1,I,ani,hdy,HADIYYA
2,you,ati,hdy,HADIYYA
3,we,nese,hdy,HADIYYA
11,one,mato,hdy,HADIYYA
12,two,lamo,hdy,HADIYYA
18,person,manCo,hdy,HADIYYA
19,fish,"k""urt""ume7e",hdy,HADIYYA
21,dog,waSiCo,hdy,HADIYYA
22,louse,ibiba,hdy,HADIYYA
23,tree,"hak""a",hdy,HADIYYA
25,leaf,buya,hdy,HADIYYA
28,skin,omaCo,hdy,HADIYYA
30,blood,"t""iga",hdy,HADIYYA
31,bone,"mik""e",hdy,HADIYYA
34,horn,budo,hdy,HADIYYA
39,ear,"maC""e",hdy,HADIYYA
40,eye,ile,hdy,HADIYYA
